question,answer
ما حكم من مات ولم يحج,إذا كان مستطيعا وفرط في الحج، فهو آثم، ويستحب أن يحج عنه
هل يجوز الحج بالمال الحرام,لا يجوز، والحج بالمال الحرام صحيح من حيث الأداء لكن غير مقبول من حيث الأجر
ما الفرق بين طواف العمرة وطواف الحج,طواف العمرة ركن فيها، بينما طواف الحج يكون طواف الإفاضة ويأتي بعد الوقوف بعرفة، وهو ركن أيضا
هل يمكن الجمع بين الحج والتجارة,نعم، بشرط أن لا تلهيه التجارة عن أداء المناسك بخشوع وتدبر، كما ورد في القرآن ليس عليكم جناح أن تبتغوا فضلا من ربكم
ما هي شروط وجوب الحج,الإسلام البلوغ العقل الحرية
ما هي شروط صحة الحج,النية والإحرام الوقوف بعرفة الطواف والسعي اجتناب المحظورات
ما الفرق بين شروط الوجوب وشروط الصحة,شروط الوجوب هي التي لا يجب الحج بدونها، أما شروط الصحة فهي التي لا يصح الحج إلا بها
ما شروط صحة العمرة,الإسلام، العقل، الإحرام، الطواف، السعي، الحلق أو التقصير
هل العمرة واجبة,جمهور العلماء يقولون إنها سنة مؤكدة، وبعضهم أوجبها مرة واحدة في العمر
هل يشترط إذن الزوج للمرأة في الحج أو العمرة,لا يشترط إذنه في حج الفريضة، لكن يستحب أخذ رأيه والتشاور معه
هل يُشترط إذن الوالدين في الحج,لا يشترط إن كان الحج فريضة، ويستحب برهما وعدم مخالفتهما إن كان تطوعا
هل يسقط الحج عن المريض المزمن,إن كان المرض يمنعه من السفر نهائيا، جاز أن ينيب غيره ليحج عنه
هل يُشترط الطهارة للطواف,نعم، الطهارة شرط لصحة الطواف عند جمهور العلماء
هل الحج فرض عين أم فرض كفاية,الحج فرض عين على كل مسلم مستطيع مرة واحدة في العمر
هل يجوز للمرأة أن تؤدي الحج أو العمرة بدون محرم,لا يجوز للمرأة أن تسافر لأداء الحج أو العمرة بدون محرم، إلا إذا كان السفر في قافلة آمنة بموافقة بعض العلماء
هل يجب على من كان مكلفًا أن يؤدي الحج,نعم، يجب على كل مسلم بالغ عاقل قادر بدنيا وماليا أداء الحج مرة واحدة في العمر إذا توفرت الشروط
هل العمرة في رمضان تعتبر أفضل من العمرة في غيره,نعم، العمرة في رمضان تعدل حجا كما قال النبي عمرة في رمضان تعدل حجة
ما حكم من لا يستطيع الحج بسبب مرض مزمن,إذا كان المرض غير قابل للشفاء، يجوز للإنسان أن ينيب شخصا آخر ليؤدي عنه مناسك الحج
هل يمكن تأجيل الحج لمن لا يمتلك المال,إذا كانت الاستطاعة المالية غير موجودة، يمكن تأجيل الحج إلى حين توفر المال
هل يجوز للحامل أداء الحج,نعم، يجوز للحامل أداء الحج إذا كانت قادرة بدنيا على أداء المناسك، وإذا كان هناك خطر على صحتها أو صحة الجنين، فلا يجوز لها أداء الحج
هل يجوز أداء الحج لمن عليه دين,لا يجوز أداء الحج لمن عليه دين إذا كان الدين يوجب عليه السداد قبل الحج
هل يجب على المسلم أن يكون متمتعًا في الحج,لا، المتمتع هو من يؤدي العمرة أولا ثم الحج في نفس السنة، لكن يمكن أداء الحج كقارن أو مفرد
هل يمكن أداء الحج من خلال قرض,إذا كان القرض قرضا حسنا بدون فوائد، جاز أداء الحج به
هل يجوز أداء الحج لمن لا يملك سيارة,نعم، لا يشترط على من يريد الحج امتلاك سيارة، يمكنه الاستعانة بوسائل النقل المتاحة
هل يمكن أداء الحج في وقت مخصص لغير المسلمين,لا، الحج مخصص فقط للمسلمين
هل يجوز لأفراد الأسرة أداء الحج في نفس الوقت,نعم، يجوز أن يؤدي أفراد الأسرة الحج في نفس الوقت طالما توفرت الشروط لكل منهم
هل يُشترط للمرأة أن ترتدي ملابس خاصة في الحج,لا يشترط ذلك، إلا أنها يجب أن ترتدي ملابس غير متبرجة وتغطي جسدها بالكامل
هل يجوز أداء الحج في موسم غير موسم الحج,لا، الحج يجب أن يتم في أيام الحج المحددة
هل يلزم المسلم أن يؤدي الحج بنفسه,لا، يجوز أن ينيب المسلم شخصا آخر إذا كان غير قادر على أداء الحج بنفسه
هل يجوز أداء الحج أكثر من مرة,نعم، يجوز أداء الحج أكثر من مرة، وهو أمر مستحب في الإسلام
هل يشترط للأعمى أن يؤدي الحج,نعم، إذا كان الأعمى قادرا بدنيا وماليا على أداء الحج، يجب عليه أداءه
هل من الممكن أن يؤدي الحج أحد أفراد الأسرة نيابة عن آخر,نعم، يمكن للإنسان أن ينيب شخصا آخر ليؤدي الحج نيابة عنه إذا كان عاجزا
هل يجب على الحاج أن يكون طاهرًا من الحيض والنفاس,نعم، يجب على المرأة أن تكون طاهرة من الحيض والنفاس قبل الإحرام
هل يجب على الحاج تجنب استخدام المواد العطرية,نعم، يجب على الحاج تجنب استخدام العطور أو أي شيء يحتوي على مواد عطرية أثناء الإحرام
ما هو الإحرام,الإحرام هو نية الدخول في مناسك الحج أو العمرة، ويلزم الشخص من حين إحرامه أن يمتنع عن مجموعة من المحظورات الخاصة
ما هي محظورات الإحرام,الصيد قتال حلق الشعر أو تقصيره تقليم الأظافر التطيب الزواج أو عقد النكاح لبس المخيط للرجال
ما هي شروط الإحرام,الإحرام هو نية الدخول في مناسك الحج أو العمرة مع ارتداء ملابس الإحرام والامتناع عن المحظورات
هل يمكن الإحرام من مكة أو المدينة,نعم، يمكن الإحرام من مكة أو المدينة، ولكن يجب على الحاج أو المعتمر أن يمر بالميقات
هل يمكن الإحرام في الطائرة,نعم، يمكن الإحرام في الطائرة قبل الوصول إلى الميقات
هل الإحرام يبدأ بعد الوضوء,نعم، يجب الوضوء قبل الإحرام، لكن الإحرام نفسه يكون بنية الدخول في مناسك الحج أو العمرة
هل يمكن إزالة الشعر أثناء الإحرام,لا يجوز للمحرم إزالة شعره أو تقليم أظافره أثناء الإحرام
هل يجوز للمحرم استخدام العطر,لا يجوز للمحرم استخدام العطر، سواء في ملابسه أو على جسده
هل يجوز التطيب للمحرم قبل الإحرام,نعم، يجوز التطيب قبل الإحرام، لكن يجب عليه إزالة رائحة الطيب بعد الإحرام
هل يجوز قتل الحشرات للمحرم,يجوز قتل الحشرات مثل البعوض أو الذباب، لكن لا يجوز قتل الحيوانات الأخرى أثناء الإحرام
هل يجوز ممارسة الرياضة أثناء الإحرام,لا يوجد مانع من ممارسة الرياضة بشكل غير مفرط طالما لا يؤدي إلى جرح أو إصابة تؤدي لقطع شعائر الحج
هل يجوز للمرأة أن ترتدي الحجاب العادي أثناء الإحرام,نعم، يجوز للمرأة أن ترتدي الحجاب العادي أثناء الإحرام، لكن يجب أن تكون ملابسها غير مخيطة وأن تكون ساترة
هل يمكن قطع الإحرام قبل أداء المناسك,نعم، يمكن قطع الإحرام في حال لم يتم الدخول في المناسك، مثل إذا حدث شيء طارئ
هل يمكن للمحرم ممارسة الجماع,لا يجوز للمحرم ممارسة الجماع أو اللمس المحرم أثناء الإحرام
هل يجوز للمرأة المحرمة ارتداء البرقع,نعم، يجوز لها ارتداء البرقع أو غطاء الوجه، ولكن يجب أن يكون ذلك بدون تطفيف أو تزين
هل يمكن غسل الشعر أثناء الإحرام,نعم، يمكن غسل الشعر أثناء الإحرام، لكن لا يجوز تقصيره أو حلقه
هل يجوز للمرأة المحرمة الزواج,لا يجوز للمرأة المحرمة عقد الزواج أو الموافقة عليه أثناء الإحرام
هل يجوز للرجل المحرم أن يرتدي الساعة,نعم، يجوز للرجل المحرم أن يرتدي الساعة لأنها ليست من المخيط
هل يجوز الإحرام عند الحائض,نعم، يجوز للمرأة الحائض أن تحرم وتبدأ مناسك الحج أو العمرة، لكنها لا تستطيع الطواف حتى تطهر
هل يمكن للإمام أن يُعين المحرمين في المسائل الشرعية,نعم، يمكن للإمام أن يوجه الحجاج والمعتمرين في الأمور الشرعية المتعلقة بالإحرام
هل يمكن غسل الملابس الخاصة بالإحرام,نعم، يمكن غسل الملابس الخاصة بالإحرام لأنها لا تحتوي على خياطة
ما هو الطواف,الطواف هو الدوران حول الكعبة المشرفة سبعة أشواط تبدأ من الحجر الأسود وتنتهي به، ويكون الطواف مضادا لاتجاه عقارب الساعة، وهو عبادة عظيمة لا تشبهها عبادة في غير الحرم
ما الفرق بين طواف الإفاضة وطواف الوداع,طواف الإفاضة ركن لا يصح الحج إلا به، ويؤدى بعد النزول من عرفة أما طواف الوداع فهو واجب يؤديه الحاج قبل مغادرة مكة، ويسقطه الحيض أو النفاس عن المرأة
ما هي أنواع الطواف,أنواع الطواف خمسة طواف القدوم للمفرد والقارن طواف الإفاضة ركن من أركان الحج طواف العمرة ركن من أركان العمرة طواف الوداع واجب عند الخروج من مكة للحاج الطواف التطوعي لمن أراد أن يتقرب إلى الله بدون نسك
هل يشترط الطهارة للطواف,نعم، يشترط الطهارة من الحدثين الأصغر والأكبر، وكذلك طهارة البدن والثياب، مثل الصلاة تماما
هل يجب ستر العورة أثناء الطواف,نعم، يشترط للطواف ما يشترط للصلاة من ستر العورة، فلا يصح الطواف بكشف ما يجب ستره
هل يمكن أداء الطواف عند انقطاع الكهرباء في الحرم,نعم، يمكن أداء الطواف في أي وقت من اليوم، بغض النظر عن انقطاع الكهرباء
هل يجوز للمرأة الطواف بدون محرم,نعم، يجوز للمرأة الطواف في المسجد الحرام بدون محرم، ما دام الطواف في أوقات آمنة
ما حكم الطواف في الوقت المزدحم,يجوز الطواف في الوقت المزدحم، ولكن يجب مراعاة السلامة والالتزام بالآداب
هل يمكن للمرأة الطواف وهي حائض,لا يجوز للمرأة الحائض الطواف، وعليها الانتظار حتى تطهر
هل يمكن للطفل الصغير أن يؤدي الطواف,نعم، يمكن للطفل أداء الطواف، ولكن لا يجزئ عن حج أو عمرة
هل الطواف طوافين أم طواف واحد,الطواف هو سبعة أشواط تبدأ من الحجر الأسود وتنتهي به، وهو طواف واحد
ما هو السعي بين الصفا والمروة,السعي بين الصفا والمروة هو عبادة تتمثل في المشي سبعة أشواط بين الجبلين في مكة، وهو ركن من أركان الحج والعمرة
هل السعي ركن من أركان الحج,نعم، السعي هو ركن من أركان الحج والعمرة، ويجب أن يتم بعد الطواف
هل يُشترط أن يكون السعي بين الصفا والمروة مشيًا أم يجوز الركض,يستحب أن يكون المشي أثناء السعي، لكن يمكن الركض بين العلمين الأخضرين، خاصة للرجال
هل يجوز السعي للمريض,نعم، يجوز للمريض السعي على كرسي متحرك أو على أي وسيلة يسهل بها التنقل
ما حكم من نسي السعي,إذا نسي السعي وجب عليه أن يعيد السعي، وإذا تركه عمدا فإن عليه دما ذبح شاة
هل يمكن السعي بين الصفا والمروة بعد الفريضة مباشرة,نعم، يمكن السعي بعد الطواف بالفريضة مباشرة، لأن السعي تابع للطواف
هل يجب على المرأة أن تلتزم نفس طريقة السعي كما الرجل,نعم، يجب على المرأة أن تسعى بنفس الطريقة التي يسعى بها الرجل، مع ضرورة أن تلتزم بآداب الحجاب
هل يجوز السعي في الليل,نعم، يجوز السعي بين الصفا والمروة في أي وقت من اليوم أو الليل
هل السعي بين الصفا والمروة واجب أو سنة,السعي بين الصفا والمروة ركن من أركان الحج والعمرة، وليس سنة
ما هي أركان السعي بين الصفا والمروة,أركان السعي هي السعي سبعة أشواط بين الصفا والمروة، بدءا من الصفا وانتهاء بالمروة
هل يجوز السعي بين الصفا والمروة من مكان آخر غير الممر المخصص,لا، يجب السعي في الممر المخصص بين الصفا والمروة
هل يمكن السعي إذا كنت لا تشعر بالراحة البدنية,إذا كنت لا تشعر بالراحة، يمكن السعي باستخدام كرسي متحرك أو أي وسيلة أخرى تساعد في إتمام السعي
هل يجوز السعي بين الصفا والمروة أثناء فترة الحيض,نعم، يجوز للمرأة الحائض السعي، ولكن لا يجوز لها الطواف أثناء الحيض
هل السعي يعد فرضًا مستقلًا أم هو جزء من الطواف,السعي هو جزء من مناسك الحج أو العمرة، ويجب أن يتم بعد الطواف
هل يمكن إتمام السعي في أي وقت بعد الطواف,نعم، يمكن السعي في أي وقت بعد الطواف، ولا يشترط أن يتم في نفس الوقت
هل يشترط أن يكون السعي من الصفا أولًا أم يمكن السعي من المروة,يجب أن يبدأ السعي من الصفا وينهي عند المروة، ولا يجوز أن يبدأ من المروة
هل يجب على الشخص السعي في كل مرة يؤدي فيها العمرة,نعم، يجب السعي بين الصفا والمروة في كل مرة تؤدي فيها العمرة، سواء كانت عمرة مفردة أو تمتعا
هل يمكن السعي بين الصفا والمروة في أوقات زحمة أو ازدحام,نعم، يمكن السعي في أوقات الازدحام، ولكن يجب الحذر والالتزام بالآداب
هل يوجد وقت معين يجب أن يتم فيه السعي,لا يوجد وقت معين، ويمكن السعي في أي وقت من اليوم أو الليل
هل يجوز السعي في حالة الإصابة,إذا كانت الإصابة تمنع السعي، يمكن للمصاب السعي باستخدام وسائل مساعدة مثل الكرسي المتحرك
هل يجب السعي بين الصفا والمروة في العمرة فقط,لا، السعي بين الصفا والمروة مطلوب أيضا في الحج بعد الطواف
هل السعي بين الصفا والمروة يحتاج إلى وضوء,لا، لا يشترط الوضوء للسعي بين الصفا والمروة، ولكن إذا كان الشخص يريد أداء السعي بعد الطواف، فيجب أن يكون على طهارة
هل يجوز السعي بعد أيام التشريق,نعم، يمكن السعي بعد أيام التشريق، لكن في الحج لا يتأخر السعي عن يوم العيد
هل السعي بين الصفا والمروة يُعتبر من أجل الحج فقط,لا، السعي يعتبر جزءا من العمرة أيضا، وليس مقتصرا على الحج فقط
هل يجوز للمرأة السعي أثناء فترة النفاس,إذا كانت المرأة في فترة النفاس، يمكنها السعي، لكن لا يجوز لها الطواف
هل السعي يكون بنفس الطريقة في الحج والعمرة,نعم، السعي يتم بنفس الطريقة في الحج والعمرة
هل يجب على الحاج أن يتبع نفس المسار عند السعي,نعم، يجب السعي بين الصفا والمروة، ويجب على الحاج اتباع المسار المخصص
هل يجوز السعي في المناطق المحيطة بالصفا والمروة,لا، السعي يجب أن يكون بين الصفا والمروة تحديدا، ولا يجوز السعي في الأماكن المحيطة
هل يجب على الحاج السعي بين الصفا والمروة في كل دورة,نعم، يجب على الحاج السعي بين الصفا والمروة في كل شوط من السبعة
هل يجب السعي بعد الطواف أم يجوز تأجيله,يجب السعي بعد الطواف مباشرة، ولكن يجوز تأجيله حتى آخر أيام الحج إذا لم يكن هناك مانع
هل يجوز السعي للطفل الرضيع,نعم، يمكن السعي بالطفل الرضيع ولكن لا يجزئ ذلك عن العمرة أو الحج
هل يجوز السعي بين الصفا والمروة أثناء الحمل,نعم، يجوز للسيدة الحامل السعي إذا كانت قادرة على أداء المناسك بشكل طبيعي
هل يشترط للنساء التزام الطواف أثناء السعي,لا، لا يجب على النساء الالتزام بالطواف أثناء السعي بين الصفا والمروة، لكن يجب الحفاظ على الحجاب والآداب
هل يجب على الحاج الإتيان بكل السعي أم يمكنه التخفيف,يجب على الحاج أداء السعي كاملا، ولكن إذا كانت هناك ظروف طارئة أو عذر، يمكن التخفيف مثل استخدام وسائل مساعدة
هل السعي بين الصفا والمروة من السنن أم من الواجبات,السعي بين الصفا والمروة هو من الواجبات وليس من السنن
هل يجب أن يمر الحاج في المسار المخصص للسعي بين الصفا والمروة,نعم، يجب على الحاج السعي في المسار المخصص بين الصفا والمروة
هل يختلف السعي بين الصفا والمروة بالنسبة للرجال والنساء,لا يختلف السعي بين الصفا والمروة بالنسبة للرجال والنساء من حيث أركانه، لكن النساء يجب أن يراعين الاحتشام أثناء السعي
هل يمكن للمريض السعي باستخدام العكاز أو العصا,نعم، يمكن للمريض السعي باستخدام العكاز أو العصا أو أي وسيلة أخرى تساعده
هل يجوز السعي بين الصفا والمروة للمعتمر قبل وصوله للمسجد,لا، لا يجوز السعي قبل الوصول للمسجد الحرام، لأن السعي يجب أن يتم بعد الطواف
هل يمكن السعي بعد صلاة الفجر,نعم، يمكن السعي بعد صلاة الفجر، حيث لا يوجد وقت معين للسعي
ما هو الوقوف بعرفة,الوقوف بعرفة هو ركن أساسي من أركان الحج، حيث يتوجه الحجاج إلى صعيد عرفة في يوم التاسع من ذو الحجة ليدعوا ويستغفروا
هل الوقوف بعرفة فرض,نعم، الوقوف بعرفة هو ركن من أركان الحج، ولا يصح الحج بدونه
متى يبدأ الوقوف بعرفة,يبدأ الوقوف بعرفة من زوال يوم التاسع من ذو الحجة وحتى غروب الشمس
متى ينتهي الوقوف بعرفة,ينتهي الوقوف بعرفة بغروب الشمس يوم التاسع من ذو الحجة
هل يجوز الوقوف بعرفة في الليل,لا، الوقوف بعرفة يجب أن يكون في النهار، من الزوال إلى غروب الشمس
هل يجب أن يكون الحاج على طهارة أثناء الوقوف بعرفة,لا، لا يشترط الطهارة للوقوف بعرفة، ولكن يجب أن يكون الحاج طاهرا عند أداء المناسك الأخرى مثل الصلاة والطواف
هل يجب على الحاج أن يبيت في عرفة,لا، لا يجب على الحاج أن يبيت في عرفة، ولكن يجب أن يقف فيها حتى غروب الشمس
هل يجوز للحاج أن يترك عرفة قبل غروب الشمس,لا يجوز للحاج أن يترك عرفة قبل غروب الشمس، وإذا فعل ذلك فإنه يفسد حجه وعليه دم
هل يجوز للحاج أن يصلي في عرفة,نعم، يسن للحاج أن يصلي الظهر والعصر في عرفة جمعا وقصرا
هل يجوز الوقوف بعرفة قبل التاسع من ذو الحجة,لا، لا يجوز الوقوف بعرفة قبل التاسع من ذو الحجة
هل يجوز الوقوف بعرفة بعد غروب الشمس,لا، يجب أن يكون الوقوف بعرفة خلال النهار، من الزوال إلى غروب الشمس
هل يمكن للمرأة الوقوف بعرفة بدون محرم,نعم، يجوز للمرأة أن تقف بعرفة بدون محرم إذا كانت ضمن مجموعة آمنة
هل يشترط أن يكون الوقوف بعرفة في الجبل,لا، يمكن الوقوف بعرفة في أي مكان داخل حدود عرفة
هل يجب على الحاج البقاء في عرفة طوال اليوم,نعم، يجب على الحاج أن يبقى في عرفة حتى غروب الشمس
ما هي دعوات الوقوف بعرفة,يستحب للحاج أن يدعو الله عز وجل في هذا اليوم العظيم، ومن الأدعية المشهورة اللهم اغفر لي وارحمني
هل يجوز الوقوف بعرفة للطفل,لا يجب على الطفل الوقوف بعرفة، ولكن يمكنه أن يقف بها إذا كان بصحبة شخص بالغ
هل يشترط أن يتوجه الحاج إلى مكة بعد الوقوف بعرفة,لا، بعد الوقوف بعرفة يتجه الحاج إلى مزدلفة ثم منى
هل يجب على الحاج أن يعتكف في عرفة,لا، ليس من واجب الحاج الاعتكاف في عرفة، بل يكفي الوقوف بها
هل يجوز للحاج الدعاء أثناء الوقوف بعرفة,نعم، يستحب أن يكثر الحاج من الدعاء في هذا اليوم
هل يمكن للحاج الوقوف بعرفة دون التوجه إلى منى,لا، بعد الوقوف بعرفة يجب على الحاج التوجه إلى مزدلفة ثم منى
هل يجوز الوقوف بعرفة لمن عليه ديون,نعم، يجوز للمدين الوقوف بعرفة إذا كان مستطيعا، لأن الوقوف بعرفة لا يشترط له سداد الدين
هل يوجد وقت محدد للدعاء في عرفة,يستحب الدعاء في كل وقت من يوم عرفة، ولكن أفضل أوقات الدعاء هو قبل غروب الشمس
هل يجب على الحاج أن يبقى في عرفة حتى غروب الشمس,نعم، يجب على الحاج أن يبقى في عرفة حتى غروب الشمس، ولا يجوز له المغادرة قبل ذلك
هل يجوز للحاج أخذ قسط من الراحة في عرفة,نعم، يمكن للحاج أخذ قسط من الراحة في عرفة بين الأوقات المخصصة للدعاء
هل يجوز للحاج تأخير الوقوف بعرفة,لا، يجب الوقوف بعرفة في اليوم المحدد، من زوال الشمس حتى غروبها
هل يجب أن يكون الوقوف بعرفة في داخل حدود عرفة,نعم، يجب أن يكون الوقوف بعرفة في حدود جبل عرفة، ولا يجوز الوقوف خارجها
هل يمكن للحاج أن يذبح الهدي بعد الوقوف بعرفة,نعم، يجوز ذبح الهدي بعد الوقوف بعرفة، وتحديدا في أيام عيد الأضحى
هل يعتبر الوقوف بعرفة جزءًا من مناسك الحج أم منفصلًا,الوقوف بعرفة هو جزء أساسي من مناسك الحج ويعتبر من أهم الأركان
هل يمكن أن يؤدي الحاج مناسك الحج دون الوقوف بعرفة,لا، لا يمكن أداء مناسك الحج دون الوقوف بعرفة، لأن ذلك يفسد الحج
هل يجب على الحاج أن يذهب إلى عرفة قبل الزوال,لا يشترط على الحاج الوصول إلى عرفة قبل الزوال، ولكن يجب أن يقف بعرفة خلال فترة الزوال إلى غروب الشمس
هل يجوز للحاج البقاء في عرفة بعد غروب الشمس,لا، يجب على الحاج مغادرة عرفة بعد غروب الشمس متوجها إلى مزدلفة
هل هناك أعمال خاصة يقوم بها الحاج في عرفة,يستحب للحاج أن يقضي وقت الوقوف في الدعاء والذكر والاستغفار، وتستحب الصلاة في عرفة
هل يجب على الحاج أن يدعو في عرفة,نعم، يستحب للحاج أن يدعو في عرفة، لأنها من أفضل أيام الدعاء
هل يمكن للحاج أداء صلاة المغرب والعشاء في عرفة,نعم، يمكن أداء صلاة المغرب والعشاء في عرفة جمعا وقصرا بعد غروب الشمس
هل يُشرع الوقوف بعرفة في اليوم العاشر من ذو الحجة,لا، الوقوف بعرفة يكون في اليوم التاسع من ذو الحجة فقط
هل يمكن الوقوف بعرفة للإنسان غير المستطيع,إذا كان الشخص غير مستطيع على الوقوف بعرفة بسبب مرض أو شيخوخة، يمكنه التوكيل بشخص آخر للقيام بالوقوف نيابة عنه
هل يُشترط للنظافة والطهارة أثناء الوقوف بعرفة,لا يشترط الطهارة الكاملة للوقوف بعرفة، لكن يستحب الحفاظ على الطهارة والنظافة
هل يجوز إتمام المناسك في حال لم أتمكن من الوصول إلى عرفة,لا، إذا لم يتمكن الشخص من الوقوف بعرفة بسبب عذر، يفسد الحج وعليه دم
هل يختلف الوقوف بعرفة في الحج الأكبر عن الحج الأصغر,لا، الوقوف بعرفة هو نفسه في الحج الأكبر والحج الأصغر، ولا يوجد اختلاف
هل يمكن الحجاج الوقوف بعرفة إذا كانوا يعانون من أزمات صحية,نعم، يمكن للمرضى الوقوف بعرفة، ويمكنهم استخدام وسائل مساعدة إذا لزم الأمر
هل يجب على الحاج أن يكون في حالة صيام أثناء الوقوف بعرفة,لا، لا يشترط الصيام في يوم عرفة للوقوف بها، لكن يستحب صيام يوم عرفة لغير الحاج
هل يجوز للنساء أن يوقفن في عرفة وحدهن,نعم، يمكن للنساء الوقوف في عرفة إذا كان هناك مرافق آمن أو مع مجموعة من النساء
هل يعتبر الوقوف بعرفة أفضل الأعمال,نعم، يعتبر الوقوف بعرفة من أعظم الأعمال في الإسلام، حيث يغفر الله فيه الكثير من الذنوب
ما هو المبيت في مزدلفة,المبيت في مزدلفة هو أحد المناسك التي يؤديها الحجاج بعد يوم عرفة، حيث يمكث الحجاج في مزدلفة ليلة العيد العاشر من ذو الحجة بعد مغادرة عرفة
هل يجب المبيت في مزدلفة,نعم، المبيت في مزدلفة هو ركن من أركان الحج، ولا يصح الحج بدونه
متى يبدأ المبيت في مزدلفة,يبدأ المبيت في مزدلفة بعد مغادرة عرفة في ليلة العيد ليلة العاشر من ذو الحجة
هل يجوز للمرأة المبيت في مزدلفة بمفردها,نعم، يجوز للمرأة المبيت في مزدلفة بمفردها إذا كانت ضمن مجموعة آمنة أو برفقة محرم
هل يمكن للحاج المبيت في مزدلفة لفترة قصيرة فقط,لا، يجب على الحاج المبيت في مزدلفة من مغيب شمس يوم عرفة حتى فجر يوم العاشر من ذو الحجة
هل يمكن للحاج ترك المبيت في مزدلفة,لا يجوز للحاج ترك المبيت في مزدلفة، إلا في حالات معينة مثل المرض أو إذا كانت هناك ضرورة شرعية
هل يجب على الحاج جمع الحصى في مزدلفة,نعم، يجب على الحاج جمع الحصى في مزدلفة، ويقوم بجمع سبع حصيات لرمي جمرة العقبة
هل يجب أن تكون الحصى التي يتم جمعها من مزدلفة,نعم، يجب جمع الحصى من مزدلفة، ويجب أن تكون الحصيات صغيرة الحجم، كحجم الحمص
هل يجب على الحاج أداء الصلاة في مزدلفة,نعم، يجب على الحاج أداء صلاة المغرب والعشاء في مزدلفة جمعا وقصرا، ويسن له أن يؤدي الفجر في وقتها
هل يجوز النوم في مزدلفة,نعم، يمكن للحاج النوم في مزدلفة، حيث يستحب أن يبيت الحجاج في هذه المنطقة حتى الفجر
هل يوجد وقت محدد للمبيت في مزدلفة,نعم، يجب على الحاج المبيت في مزدلفة من مغيب الشمس إلى فجر يوم العاشر من ذو الحجة
هل يجوز للمرضى المبيت في مزدلفة,نعم، يمكن للمرضى المبيت في مزدلفة، ويمكنهم استخدام وسائل مساعدة إذا لزم الأمر
هل يمكن للحاج مغادرة مزدلفة قبل الفجر,نعم، يمكن للحاج مغادرة مزدلفة قبل الفجر، لكن يستحب له الانتظار حتى الفجر
هل يمكن للحاج أن يبيت في مكان غير مزدلفة,لا، المبيت في مزدلفة هو جزء من مناسك الحج ولا يمكن للمرء تأدية الحج دون المبيت بها
هل يُشترط على الحاج أن يكون في حالة طهارة أثناء المبيت في مزدلفة,لا يشترط أن يكون الحاج في حالة طهارة أثناء المبيت في مزدلفة، ولكن يستحب الحفاظ على الطهارة
هل يجوز للأشخاص الذين ليس لديهم القدرة على السير المبيت في مزدلفة,نعم، يمكن للأشخاص الذين لا يستطيعون السير بسبب مرض أو إعاقة المبيت في مزدلفة، ويمكنهم استخدام وسائل النقل
هل المبيت في مزدلفة هو جزء من مناسك العمرة,لا، المبيت في مزدلفة جزء من مناسك الحج وليس العمرة
هل يمكن أن يؤدي الحاج مناسك الحج دون المبيت في مزدلفة,لا، المبيت في مزدلفة هو ركن من أركان الحج ولا يمكن أداء الحج بدون هذا الركن
